time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7
74519093,156,148,117,183,85,123,2794
74552426,155,146,116,183,85,121,2352
74585759,156,150,116,184,86,122,2011
74619092,155,147,117,184,85,122,1691
74652425,155,148,116,184,86,122,1388
74685758,157,148,117,185,85,122,1207
74719091,155,148,116,185,86,122,1005
74752424,156,148,118,184,86,123,781
74785757,155,145,116,183,86,122,591
74819090,154,148,115,184,84,122,436
74852423,155,148,116,184,86,121,339
74885756,155,148,116,184,86,122,286
74919089,157,147,117,183,85,122,3849
74952422,154,149,116,184,86,122,3225
74985755,155,148,115,185,85,122,2767
75019088,156,146,116,185,85,123,2275
75052421,155,148,117,185,86,123,1874
75085754,156,148,117,185,88,127,1608
75119087,155,148,116,183,84,125,1355
75152420,156,147,116,184,84,123,1038
75185753,158,148,116,184,86,124,713
75219086,154,147,117,184,86,125,511
75252419,157,148,116,185,87,122,3787
75285752,159,148,118,185,87,125,2402
75319085,160,147,116,187,85,122,1529
75352418,156,147,115,187,85,123,1011
75385751,156,148,116,185,86,122,3713
75419084,156,150,119,183,86,121,2345
75452417,156,148,117,183,83,123,1494
75485750,156,148,117,184,84,120,3737
75519083,179,149,126,186,86,121,3778
75552416,172,149,121,184,87,121,3868
75585749,165,148,119,185,87,123,3869
75619082,161,147,119,184,86,120,3874
75652415,159,147,117,184,84,120,3872
75685748,157,147,117,187,87,122,3870
75719081,156,148,117,183,88,121,3871
75752414,158,148,117,184,88,122,3871
75785747,158,148,117,183,87,122,3872
75819080,157,147,117,185,86,122,3872
75852413,156,148,116,184,85,121,3871
75885746,156,147,116,183,82,119,3872
75919079,155,148,116,183,86,122,3873
75952412,155,147,116,184,85,121,3871
75985745,154,147,117,185,86,122,3871
76019078,155,147,117,184,86,121,3869
76052411,154,147,116,185,85,122,3872
76085744,155,148,116,184,86,122,3872
76119077,155,148,117,183,84,121,3805
76152410,155,148,116,186,85,122,3874
76185743,155,148,116,186,87,122,3872
76219076,155,148,115,185,86,123,3874
76252409,153,148,117,187,86,124,3873
76285742,154,147,116,186,86,121,3869
76319075,155,149,117,185,86,122,3868
76352408,156,147,115,185,86,125,3868
76385741,156,147,117,184,87,127,3868
76419074,157,148,116,185,91,128,3868
76452407,155,148,117,184,89,126,3869
76485740,154,148,117,184,87,124,3869
76519073,155,148,117,185,89,123,3868
76552406,155,148,116,185,86,123,3868
76585739,156,148,116,184,85,122,3868
76619072,156,148,117,185,83,124,3869
